START:  w1
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 1 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
delete , b3 , status : 0 , QTime : 0 , None
add , b4 , status : 0 , Total :  0.072998046875
END:  w1
START:  w1
add , b1 , commit :  false , status : 0 , QTime : 29 , None , FileProcessing :  34.4250488281
add , b1 , status : 0 , Total :  34.5759277344
delete , b1 , status : 0 , QTime : 0 , None
add , b2 , commit :  false , status : 0 , QTime : 4 , None , FileProcessing :  7.55590820312
add , b2 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  6.6708984375
add , b2 , commit :  false , status : 0 , QTime : 4 , None , FileProcessing :  7.35888671875
add , b2 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  6.75708007812
add , b2 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  7.09326171875
add , b2 , commit :  false , status : 0 , QTime : 4 , None , FileProcessing :  7.1669921875
add , b2 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  6.19506835938
add , b2 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  6.505859375
add , b2 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  6.68408203125
add , b2 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  6.2119140625
add , b2 , status : 0 , Total :  68.6831054688
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 1 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 1 , None
delete , b2 , status : 0 , QTime : 0 , None
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.90991210938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.16015625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.97998046875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.97705078125
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.59008789062
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.96997070312
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.16796875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.06201171875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.86108398438
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.05834960938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.3837890625
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.11987304688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.27685546875
